content
"大家可以尽情在讨论区攻击哈哈，一点都不带怕的
·
另外这个帖子请intj一定要认真看完！
·
灵感源于查理·芒格的逆向思维：“如果我知道将来会死在什么地方，那么我就不会去那里。”
·
所以就发了这个帖子，想通过他人的视角来看看intj身上有哪些缺点，这样就可以去有针对性改正缺点，不去那个“将来会死的地方”。
·
后面准备整理一期intj缺点清单，可以期待一下
	
#mbti #mbti十六型人格 #mbti梗图 #mbti开大会 #i人 #INTJ #intj #intj精神世界 #INTJ成长指南"
我爱你，不是因为你有钱、有型、有事业、有光环，我爱你仅仅因为我爱你，与其他的一切都无关。
INTJ最薄弱的地方，是缺乏物质基础以外，情感层面感受和表达爱的能力。
有点道理，但不会破防，会爱自己就行了，会不会爱别人和被爱都不是重点
“不可能！绝对不可能！”
那你爱我总有个理由，单纯的爱我是爱什么？爱我的性格？还是爱我聪明的头脑？
不可能
回复 冰糖炖雪梨 : 我的理由是我有爱的能力，我想爱谁爱谁，我不需要理由。你需要理由是因为你没有，你害怕，你需要一个看似成立的因果逻辑来骗自己。没有人比你性格好吗？没有人比你聪明吗？我爱你就是与这些无关。
你学不明白
拿出来我看看什么东西我学不明白
回复 Save : 学学《逻辑哲学论》
回复 炒鸡想睡觉 : 我等下就去网上买书。我真
回复 Save : 真难学
好真实，懒惰如我，最讨厌动脑类的比如数学，前一阵开题一师门都整不明白样本量计算，我同门一句学不明白，ok我通了个宵学出来了，成了全科整出来的第一人，教给其他同门的时候简直intj最舒畅的时刻
破防了
“就这点事有什么可难过的，我当年也经历过，不也一样挺过来了？”
哈哈哈哈哈气死我了
你逻辑也就一般啊
wk我看了两个帖子的评论，就你最伤我了
我也讨厌这句
破防
本INTJ想看看你的逻辑是哪个16人格的逻辑
我破防了
好家伙
啊啊啊啊啊啊啊啊啊啊破防了
红温
最讨厌这句，我很不服这句话，所以我一旦被说这句话之后，我会狠狠地证明自己，然后直到对方心服口服，我直接耻笑它八辈子
我自己弄你啊啊
为啥破防哈哈哈，说我一般就用你的逻辑反驳我
你永远不会真的喜欢上任何人。
这对我来说是赞誉
你永远都在权衡利弊。
回复 看到太阳就想睡觉. : 我覺得是讚美
真觉得这是夸奖
回复 爱吃小番茄 : 其实这是说给我自己没有对象的自我安慰。
回复 看到太阳就想睡觉. : 这个太对了，我对象就是intj 我感觉他在权衡利弊
你是不是没有被爱过 才没有爱别人的能力
ta一直说不知道什么是纯粹的爱，但是当给予了ta纯粹的爱，ta不知道这是什么依然会糟蹋，这是最有趣的（个人经历）
触痛我了
说我没有爱人的能力，我说那咋了。但你这句我真的破防了
痛到我了
人这一生纯粹的爱只有一次，在我这你是体会不到了
沉默
你没有爱人的能力
这句倒是被骂爽了
谢谢大家的参与～为此专门整理了一份2000字的《 #INTJ精进指南1.0 》，包含INTJ的优势、劣势和精进建议，需要的宝子关㊗️一下，留言区告诉我，我会一一给大家发哦
资料是免费的！
已关，求发
回复 半截诗 : 已发
已关注，莫辜负
已关，求发
已关注，求发
已关 求发
已关求发
已关注，求发
已关，求发
已关，求发
咱们普通人就别掺和了
说这话的人再也不会跟她深入关系你普通就普通拉上我干什么，衮啊
啊啊啊啊啊啊
删掉
什么
破防
删掉！
新题库出来了，其实你是小蝴蝶🦋
intj破防没我不知道我破防了
没事，你努力了，结果不好没关系的
听到这句话已经破防了
感觉在嘲笑我
回复 cowboy like me : 是的……听到这句话特别不甘心
就是，说什么努力了就好，结果不好不还是什么也不是吗，真的不懂为什么总有人拿努力过自我安慰自己的失败
真服了，努力了还失败这不是头号输家吗
@小张吐泡泡. 真的会生气要不然就不做，做就要做得有意义有价值，要是浪费时间努力去做一件结果不好的事，我宁愿不做
你不是情绪稳定 你是情感漠视
这个有点伤……真的被说过
回复 💛哟 : 那咋样能让他意识到呢hhh
回复 乌托邦毛绒狐狸_ : 说到这个确实会对自己产生怀疑，也会反思一下。但是真的没有这根筋（不是不愿意在意情感的意思，情感不是第一位的，理性占比太重了，应该可以慢慢纠正好一点吧。但不会像fp 那样对情感特别敏锐。
回复 💛哟 : ok我感觉他能关注到一部分，只是更理性，自我保护意识重，处理这方面和我比较像（我本质enfp-a做事entp-a，所以现在测出来都是tp）但是他只能关注到自己的情绪，关注不到我的想法（可能因为我俩差异太大）他会和我说我不考虑他但是我觉得他也没咋考虑我，只是我没表现出来，他就也不知道
回复 乌托邦毛绒狐狸_ : 说实话跟我和fp相处是一摸一样的。你说的也全对了，包括最后几句。我感觉fp和intj相处，得靠你们包容了……
回复 💛哟 : 你对面是哪个fp
我对intj说了这段话，他却说：强扭的瓜不甜，虽然我喜欢强扭，但我觉得你没有这个气场。何解？
确实强扭（如果这段话是一个他喜欢的人发的他会欣喜若狂，如果不是喜欢的人发的就会觉得强扭有种给自己画大饼的感觉）
“资质平平还那么好强”
直接气炸我当时
。
回复 宋世 : 加一
那句话完整的是：“自己听不懂还说我教的不好，资质平平还那么好强”
@Dicotyledon
当别人说不是啊 又把你的意思重申一遍
哇  我以为只有我遇到这样的事儿@几时有肠粉食
当觉得笨的/讨厌的人：“我和你一样是intj”！
崩溃了 那我会说我是enfp
你得到过无条件的爱吗
好像不是很在意这个
"对方：你给不了我情绪价值
我：情绪价值具体是什么"
"我无数次对瑜伽老师的引导词产生质疑：放松，放轻松……
鬼知道到底怎么做才是放松"
我有点不太理解，mbti 不是一个朴素贝叶斯分类器嘛，按照 intj 的思维应该能比较敏锐地捕捉到这一点吧，但是为啥还会迷信 mbti 呢
二分法是，但荣格八维不是。mbti背后还有毕比模型作为理论支撑，属于人格心理学范畴。只能说现在对mbti的理解还停留在刻板印象的大概率都不是真的intj
“算了”
最讨厌这句
